date,a95,a100,diesel_kinisis,diesel_thermansis,lpg
2025-11-07,1.748,1.956,1.564,1.168,0.944
2025-11-14,1.758,1.963,1.584,1.176,0.948
2025-11-21,1.765,1.968,1.598,1.182,0.948
2025-11-28,1.765,1.967,1.598,1.173,0.96
2025-12-05,1.764,1.967,1.583,1.158,0.976
2025-12-12,1.757,1.963,1.564,1.15,0.986
2025-12-19,1.735,1.946,1.537,1.134,0.989
2025-12-26,1.722,1.937,1.526,1.127,0.989
2026-01-02,1.716,1.933,1.52,1.122,0.988
2026-01-09,1.712,1.931,1.516,1.119,0.991
2026-01-16,1.714,1.932,1.516,1.125,1.003
2026-01-23,1.722,1.938,1.526,1.136,1.014
2026-01-30,1.724,1.939,1.531,1.143,1.015
2026-02-06,1.73,1.944,1.543,1.152,1.021
2026-02-13,1.735,1.946,1.546,1.156,1.035
2026-02-20,1.736,1.947,1.547,1.156,1.039
2026-02-27,1.751,1.956,1.565,1.179,1.045
2026-03-06,1.807,2.008,1.713,1.328,1.1
2026-03-13,1.9,2.09,1.88,1.448,1.191
2026-03-20,2.002,2.191,1.99,1.583,1.298
2026-03-27,2.049,2.253,2.107,1.676,1.371
2026-04-03,2.067,2.273,2.072,1.763,1.373
2026-04-10,2.071,2.281,2.071,1.814,1.368
2026-04-17,2.036,2.259,1.983,1.801,1.349
2026-04-24,2.026,2.241,1.884,1.749,1.298
2026-05-01,2.068,2.248,1.881,,1.278
2026-05-08,2.094,2.265,1.871,,1.238
2026-05-15,2.104,2.29,1.814,,1.194
